symbol,passed,dividend_count,min_adjfactor,max_adjfactor,price_continuity_passed,adjfactor_changes_passed,adjfactor_range_passed,issues_count
002594.SZ,✅,11,1.0,1.0891617917900511,✅,✅,✅,0
600309.SH,✅,26,1.0,1.0609799570505174,✅,✅,✅,0
601012.SH,✅,13,1.0,1.0260658373504716,✅,✅,✅,0
002475.SZ,✅,15,1.0,1.0177355918477435,✅,✅,✅,0
000858.SZ,✅,27,1.0,1.114751826876197,✅,✅,✅,0
000002.SZ,✅,31,1.0,1.0521872601688411,✅,✅,✅,0
600276.SH,✅,26,1.0,1.0121941260170289,✅,✅,✅,0
600519.SH,✅,26,1.0,1.0753973035576692,✅,✅,✅,0
300059.SZ,✅,16,1.0,1.010117513397801,✅,✅,✅,5
600036.SH,✅,23,1.0,1.1804365326431487,✅,✅,✅,0
603288.SH,✅,13,1.0,1.061807825309202,✅,✅,✅,0
000333.SZ,✅,13,1.0,1.1712133809788792,✅,✅,✅,0
002920.SZ,✅,8,1.0,1.0254838273093947,✅,✅,✅,0
300760.SZ,✅,12,1.0,1.0836022146981112,✅,✅,✅,0
600031.SH,✅,24,1.0,1.061833189173102,✅,✅,✅,0
000001.SZ,✅,27,1.0,1.194808965926702,✅,✅,✅,0
300750.SZ,✅,8,1.0,1.0472350931056404,✅,✅,✅,3
601166.SH,✅,19,1.0,1.215294039801902,✅,✅,✅,0
600900.SH,✅,23,1.0,1.1070940790715038,✅,✅,✅,0
601318.SH,✅,37,1.0,1.173203295892466,✅,✅,✅,0
