symbol,passed,dividend_count,min_adjfactor,max_adjfactor,price_continuity_passed,adjfactor_changes_passed,adjfactor_range_passed,issues_count
600030.SH,✅,24,1.0,1.0667240691678186,✅,✅,✅,0
600809.SH,✅,27,1.0,1.0778319684478703,✅,✅,✅,0
002594.SZ,✅,11,1.0,1.0891617917900511,✅,✅,✅,0
603605.SH,✅,10,1.0,1.0346396528999102,✅,✅,✅,0
300014.SZ,✅,16,1.0,1.0312765010496323,✅,✅,✅,5
601211.SH,✅,13,1.0,1.1054035798516737,✅,✅,✅,0
600999.SH,✅,20,1.0,1.0705550919567222,✅,✅,✅,0
600309.SH,✅,26,1.0,1.0609799570505174,✅,✅,✅,0
601012.SH,✅,13,1.0,1.0260658373504716,✅,✅,✅,0
600887.SH,✅,29,1.0,1.1327115517658728,✅,✅,✅,0
300274.SZ,✅,15,1.0,1.0347244725683278,✅,✅,✅,7
002371.SZ,✅,14,1.0,1.0087496413673211,✅,✅,✅,0
601939.SH,✅,21,1.0,1.1905132145933082,✅,✅,✅,0
002475.SZ,✅,15,1.0,1.0177355918477435,✅,✅,✅,0
000858.SZ,✅,27,1.0,1.114751826876197,✅,✅,✅,0
000002.SZ,✅,31,1.0,1.0521872601688411,✅,✅,✅,0
600219.SH,✅,26,1.0,1.1129684954367094,✅,✅,✅,0
600276.SH,✅,26,1.0,1.0121941260170289,✅,✅,✅,0
603259.SH,✅,8,1.0,1.060428454864953,✅,✅,✅,0
000100.SZ,✅,17,1.0,1.030221386800334,✅,✅,✅,0
000651.SZ,✅,32,1.0,1.2139155002585746,✅,✅,✅,0
600340.SH,✅,14,1.0,1.0,✅,✅,✅,0
000063.SZ,✅,25,1.0,1.0591517166003797,✅,✅,✅,0
688111.SH,✅,6,1.0,1.0086405089855102,✅,✅,✅,5
603486.SH,✅,6,1.0,1.028137383347565,✅,✅,✅,0
600600.SH,✅,29,1.0,1.0772086554429194,✅,✅,✅,0
002129.SZ,✅,14,1.0,1.036452592855808,✅,✅,✅,0
601688.SH,✅,17,1.0,1.0921124030714933,✅,✅,✅,0
600016.SH,✅,33,1.0,1.2308096365607446,✅,✅,✅,0
000568.SZ,✅,32,1.0,1.1223581196191763,✅,✅,✅,0
600519.SH,✅,26,1.0,1.0753973035576692,✅,✅,✅,0
002230.SZ,✅,17,1.0,1.0060929138816597,✅,✅,✅,0
601169.SH,✅,19,1.0,1.2086982681023035,✅,✅,✅,0
600585.SH,✅,23,1.0,1.1588469904307592,✅,✅,✅,0
600000.SH,✅,25,1.0,1.1238832613886016,✅,✅,✅,0
601899.SH,✅,21,1.0,1.0656646135551078,✅,✅,✅,0
300136.SZ,✅,13,1.0,1.010379286968198,✅,✅,✅,4
601088.SH,✅,19,1.0,1.2726539709633722,✅,✅,✅,0
300124.SZ,✅,15,1.0,1.020739749622286,✅,✅,✅,2
300059.SZ,✅,16,1.0,1.010117513397801,✅,✅,✅,5
002142.SZ,✅,19,1.0,1.0874191875945638,✅,✅,✅,0
600779.SH,✅,23,1.0,1.0604188620619357,✅,✅,✅,0
600036.SH,✅,23,1.0,1.1804365326431487,✅,✅,✅,0
603288.SH,✅,13,1.0,1.061807825309202,✅,✅,✅,0
000333.SZ,✅,13,1.0,1.1712133809788792,✅,✅,✅,0
002920.SZ,✅,8,1.0,1.0254838273093947,✅,✅,✅,0
000895.SZ,✅,34,1.0,1.2115819962501393,✅,✅,✅,0
603369.SH,✅,11,1.0,1.0635829910930916,✅,✅,✅,0
601600.SH,✅,11,1.0,1.0491683871255708,✅,✅,✅,0
000069.SZ,✅,23,1.0,1.0,✅,✅,✅,0
601628.SH,✅,21,1.0,1.0458916554649516,✅,✅,✅,0
002555.SZ,✅,27,1.0,1.1706330945338832,✅,✅,✅,0
002304.SZ,✅,17,1.0,1.164492445027006,✅,✅,✅,0
300433.SZ,✅,11,1.0,1.0566509438692018,✅,✅,✅,5
000661.SZ,✅,17,1.0,1.0717441204793063,✅,✅,✅,0
300450.SZ,✅,11,1.0,1.0397100312710124,✅,✅,✅,6
002466.SZ,✅,9,1.0,1.0857457954232146,✅,✅,✅,0
600886.SH,✅,25,1.0,1.0865203984797265,✅,✅,✅,0
000776.SZ,✅,19,1.0,1.080648134598801,✅,✅,✅,0
300015.SZ,✅,17,1.0,1.0310625652357857,✅,✅,✅,4
600019.SH,✅,30,1.0,1.1302751490311,✅,✅,✅,0
300832.SZ,✅,6,1.0,1.0497791349967278,✅,✅,✅,0
300760.SZ,✅,12,1.0,1.0836022146981112,✅,✅,✅,0
002049.SZ,✅,20,1.0,1.0153582813254964,✅,✅,✅,0
600031.SH,✅,24,1.0,1.061833189173102,✅,✅,✅,0
001979.SZ,✅,10,1.0,1.0780849091927869,✅,✅,✅,0
601328.SH,✅,22,1.0,1.1979643415674548,✅,✅,✅,0
601336.SH,✅,15,1.0,1.1056575506405473,✅,✅,✅,0
300033.SZ,✅,17,1.0,1.0428930520801876,✅,✅,✅,12
688599.SH,✅,5,1.0,1.0452704985234456,✅,✅,✅,7
000001.SZ,✅,27,1.0,1.194808965926702,✅,✅,✅,0
000596.SZ,✅,24,1.0,1.0787153071402455,✅,✅,✅,0
002415.SZ,✅,17,1.0,1.0894753336804586,✅,✅,✅,0
600438.SH,✅,16,1.0,1.1327742651654988,✅,✅,✅,0
600426.SH,✅,24,1.0,1.0796778796232605,✅,✅,✅,0
600674.SH,✅,25,1.0,1.0778023940396162,✅,✅,✅,0
600025.SH,✅,8,1.0,1.0665153029063543,✅,✅,✅,0
000538.SZ,✅,32,1.0,1.095183088758342,✅,✅,✅,0
002008.SZ,✅,21,1.0,1.0335403430399288,✅,✅,✅,0
002736.SZ,✅,11,1.0,1.0989373677093028,✅,✅,✅,0
300750.SZ,✅,8,1.0,1.0472350931056404,✅,✅,✅,3
603501.SH,✅,10,1.0,1.00624792843091,✅,✅,✅,0
000725.SZ,✅,17,1.0,1.036626017764576,✅,✅,✅,0
601398.SH,✅,21,1.0,1.1855446487842178,✅,✅,✅,0
603899.SH,✅,11,1.0,1.0706711680818906,✅,✅,✅,0
002460.SZ,✅,15,1.0,1.0513907043296271,✅,✅,✅,0
601066.SH,✅,9,1.0,1.0337750903967793,✅,✅,✅,0
601166.SH,✅,19,1.0,1.215294039801902,✅,✅,✅,0
601865.SH,✅,8,1.0,1.043904711591104,✅,✅,✅,0
601288.SH,✅,17,1.0,1.188655559085408,✅,✅,✅,0
601601.SH,✅,18,1.0,1.1152357779521809,✅,✅,✅,0
300347.SZ,✅,13,1.0,1.0267271945562766,✅,✅,✅,2
300676.SZ,✅,8,1.0,1.0201355662868283,✅,✅,✅,4
002773.SZ,✅,10,1.0,1.0457250138498468,✅,✅,✅,0
600048.SH,✅,19,1.0,1.1111772732041774,✅,✅,✅,0
600900.SH,✅,23,1.0,1.1070940790715038,✅,✅,✅,0
601377.SH,✅,18,1.0,1.0976810827043175,✅,✅,✅,0
600011.SH,✅,22,1.0,1.061027554751404,✅,✅,✅,0
601988.SH,✅,21,1.0,1.1797660406816022,✅,✅,✅,0
601318.SH,✅,37,1.0,1.173203295892466,✅,✅,✅,0
