symbol,trading_days,expected_days,missing_days,missing_ratio,missing_status,abnormal_price_days,abnormal_price_ratio,abnormal_price_status,zero_volume_days,zero_volume_ratio,zero_volume_status,missing_dates,abnormal_price_dates,zero_volume_dates,name,industry,sector,fundamentals_coverage,fundamentals_status,fundamentals_available,fundamentals_error
000001.SZ,544,544,0,0.0,ok,2,0.003683241252302026,ok,0,0.0,ok,[],"['2022-11-29', '2024-02-21']",[],平安银行,金融,银行,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/000001SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ca6100>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
000002.SZ,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],万科A,地产,房地产,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/000002SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ccebb0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
000333.SZ,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],美的集团,消费,家电,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/000333SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ca64c0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
000858.SZ,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],五粮液,消费,白酒,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/000858SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ca6b80>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
002475.SZ,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],立讯精密,科技,电子制造,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/002475SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cc32b0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
002594.SZ,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],比亚迪,新能源,汽车,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/002594SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cceca0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
002920.SZ,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],德赛西威,科技,汽车电子,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/002920SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cc3dc0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
300059.SZ,544,544,0,0.0,ok,9,0.016574585635359115,warning,0,0.0,ok,[],"['2023-04-03', '2024-09-24', '2024-09-26', '2024-09-27', '2024-09-30', '2024-10-08', '2024-10-10', '2024-10-18', '2024-11-07']",[],东方财富,金融,金融科技,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/300059SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cc3340>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
300750.SZ,544,544,0,0.0,ok,4,0.007366482504604052,ok,0,0.0,ok,[],"['2024-03-11', '2024-09-30', '2024-10-08', '2024-10-09']",[],宁德时代,新能源,电池,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/300750SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cc39a0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
300760.SZ,544,544,0,0.0,ok,2,0.003683241252302026,ok,0,0.0,ok,[],"['2022-10-14', '2024-09-27']",[],迈瑞医疗,医药,医疗器械,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/300760SZ/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cd9ca0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
