symbol,name,date,prev_close,open_price,deviation_pct,abs_deviation_pct
000001.SZ,平安银行,2024-01-31,8.17,8.13,-0.4895960832313237,0.4895960832313237
000001.SZ,平安银行,2024-02-29,9.16,9.09,-0.7641921397379944,0.7641921397379944
000001.SZ,平安银行,2024-03-29,9.16,9.12,-0.4366812227074336,0.4366812227074336
000001.SZ,平安银行,2024-04-30,9.48,9.47,-0.10548523206750829,0.10548523206750829
000001.SZ,平安银行,2024-05-31,9.79,9.81,0.20429009193055517,0.20429009193055517
000001.SZ,平安银行,2024-06-28,9.52,9.49,-0.31512605042016134,0.31512605042016134
000001.SZ,平安银行,2024-07-31,9.47,9.47,0.0,0.0
000001.SZ,平安银行,2024-08-30,9.52,9.5,-0.2100840336134409,0.2100840336134409
000001.SZ,平安银行,2024-09-30,10.81,11.01,1.8501387604070239,1.8501387604070239
601318.SH,中国平安,2024-01-31,36.18,36.14,-0.11055831951354105,0.11055831951354105
601318.SH,中国平安,2024-02-29,38.64,38.51,-0.33643892339545173,0.33643892339545173
601318.SH,中国平安,2024-03-29,36.68,36.77,0.24536532170120884,0.24536532170120884
601318.SH,中国平安,2024-04-30,38.07,38.07,0.0,0.0
601318.SH,中国平安,2024-05-31,39.14,39.39,0.6387327542156361,0.6387327542156361
601318.SH,中国平安,2024-06-28,37.41,37.34,-0.1871157444533365,0.1871157444533365
601318.SH,中国平安,2024-07-31,38.8,38.81,0.02577319587630185,0.02577319587630185
601318.SH,中国平安,2024-08-30,40.09,40.18,0.2244948865053537,0.2244948865053537
601318.SH,中国平安,2024-09-30,49.37,51.95,5.225845655256239,5.225845655256239
000858.SZ,五粮液,2024-01-31,117.3,117.09,-0.17902813299232204,0.17902813299232204
000858.SZ,五粮液,2024-02-29,129.12,128.59,-0.41047087980173563,0.41047087980173563
000858.SZ,五粮液,2024-03-29,142.69,142.69,0.0,0.0
000858.SZ,五粮液,2024-04-30,141.34,141.89,0.3891325880854556,0.3891325880854556
000858.SZ,五粮液,2024-05-31,135.85,136.49,0.471107839528903,0.471107839528903
000858.SZ,五粮液,2024-06-28,119.24,118.58,-0.5535055350553477,0.5535055350553477
000858.SZ,五粮液,2024-07-31,117.55,116.94,-0.5189281156954483,0.5189281156954483
000858.SZ,五粮液,2024-08-30,113.04,112.26,-0.6900212314225063,0.6900212314225063
000858.SZ,五粮液,2024-09-30,142.0,150.28,5.830985915492959,5.830985915492959
600519.SH,贵州茅台,2024-01-31,1530.64,1530.64,0.0,0.0
600519.SH,贵州茅台,2024-02-29,1599.19,1599.19,0.0,0.0
600519.SH,贵州茅台,2024-03-29,1619.28,1619.28,0.0,0.0
600519.SH,贵州茅台,2024-04-30,1621.64,1622.65,0.06228262746355485,0.06228262746355485
600519.SH,贵州茅台,2024-05-31,1566.64,1568.14,0.09574631057549915,0.09574631057549915
600519.SH,贵州茅台,2024-06-28,1439.01,1428.52,-0.7289733914288302,0.7289733914288302
600519.SH,贵州茅台,2024-07-31,1328.51,1321.62,-0.5186261300253743,0.5186261300253743
600519.SH,贵州茅台,2024-08-30,1361.82,1361.52,-0.02202934308498587,0.02202934308498587
600519.SH,贵州茅台,2024-09-30,1577.72,1640.52,3.980427452272897,3.980427452272897
300750.SZ,宁德时代,2024-01-31,128.96,133.21,3.295595533498759,3.295595533498759
300750.SZ,宁德时代,2024-02-29,145.22,144.31,-0.6266354496625786,0.6266354496625786
300750.SZ,宁德时代,2024-03-29,176.99,178.51,0.8588055822362742,0.8588055822362742
300750.SZ,宁德时代,2024-04-30,197.84,199.0,0.5863323898099457,0.5863323898099457
300750.SZ,宁德时代,2024-05-31,192.59,192.59,0.0,0.0
300750.SZ,宁德时代,2024-06-28,178.24,177.04,-0.6732495511669754,0.6732495511669754
300750.SZ,宁德时代,2024-07-31,178.13,175.24,-1.622410599000722,1.622410599000722
300750.SZ,宁德时代,2024-08-30,174.04,174.04,0.0,0.0
300750.SZ,宁德时代,2024-09-30,220.05,226.26,2.822085889570543,2.822085889570543
600036.SH,招商银行,2024-01-31,27.03,26.95,-0.2959674435812129,0.2959674435812129
600036.SH,招商银行,2024-02-29,28.05,27.92,-0.46345811051693053,0.46345811051693053
600036.SH,招商银行,2024-03-29,28.21,28.13,-0.28358738036158043,0.28358738036158043
600036.SH,招商银行,2024-04-30,30.91,30.43,-1.5528955030734404,1.5528955030734404
600036.SH,招商银行,2024-05-31,30.37,30.56,0.6256173855778654,0.6256173855778654
600036.SH,招商银行,2024-06-28,30.29,30.23,-0.19808517662594496,0.19808517662594496
600036.SH,招商银行,2024-07-31,30.42,30.42,0.0,0.0
600036.SH,招商银行,2024-08-30,30.93,30.8,-0.4203039120594859,0.4203039120594859
600036.SH,招商银行,2024-09-30,33.63,34.35,2.140945584299729,2.140945584299729
002594.SZ,比亚迪,2024-01-31,54.97,54.67,-0.5457522284882612,0.5457522284882612
002594.SZ,比亚迪,2024-02-29,60.31,59.98,-0.5471729398109856,0.5471729398109856
002594.SZ,比亚迪,2024-03-29,67.1,67.12,0.029806259314471284,0.029806259314471284
002594.SZ,比亚迪,2024-04-30,71.44,72.14,0.9798432250839906,0.9798432250839906
002594.SZ,比亚迪,2024-05-31,73.6,73.91,0.4211956521739162,0.4211956521739162
002594.SZ,比亚迪,2024-06-28,80.81,80.31,-0.6187353050365054,0.6187353050365054
002594.SZ,比亚迪,2024-07-31,79.98,79.55,-0.537634408602159,0.537634408602159
002594.SZ,比亚迪,2024-08-30,76.96,78.0,1.3513513513513595,1.3513513513513595
002594.SZ,比亚迪,2024-09-30,93.34,95.34,2.142704092564817,2.142704092564817
000002.SZ,万科A,2024-01-31,9.79,9.77,-0.20429009193053704,0.20429009193053704
000002.SZ,万科A,2024-02-29,9.93,9.85,-0.8056394763343411,0.8056394763343411
000002.SZ,万科A,2024-03-29,9.24,8.96,-3.0303030303030236,3.0303030303030236
000002.SZ,万科A,2024-04-30,7.56,7.7,1.8518518518518594,1.8518518518518594
000002.SZ,万科A,2024-05-31,8.27,8.35,0.9673518742442574,0.9673518742442574
000002.SZ,万科A,2024-06-28,7.0,6.95,-0.7142857142857117,0.7142857142857117
000002.SZ,万科A,2024-07-31,6.75,6.73,-0.29629629629629,0.29629629629629
000002.SZ,万科A,2024-08-30,6.24,6.24,0.0,0.0
000002.SZ,万科A,2024-09-30,8.84,9.72,9.954751131221728,9.954751131221728
600276.SH,恒瑞医药,2024-01-31,38.29,38.0,-0.757377905458342,0.757377905458342
600276.SH,恒瑞医药,2024-02-29,41.83,41.82,-0.023906287353569235,0.023906287353569235
600276.SH,恒瑞医药,2024-03-29,45.81,45.81,0.0,0.0
600276.SH,恒瑞医药,2024-04-30,45.78,45.99,0.4587155963302771,0.4587155963302771
600276.SH,恒瑞医药,2024-05-31,42.48,43.0,1.2241054613936044,1.2241054613936044
600276.SH,恒瑞医药,2024-06-28,38.84,38.8,-0.10298661174048983,0.10298661174048983
600276.SH,恒瑞医药,2024-07-31,39.8,39.79,-0.025125628140698523,0.025125628140698523
600276.SH,恒瑞医药,2024-08-30,44.12,44.24,0.2719854941069913,0.2719854941069913
600276.SH,恒瑞医药,2024-09-30,48.48,50.0,3.135313531353142,3.135313531353142
601166.SH,兴业银行,2024-01-31,13.55,13.52,-0.22140221402214857,0.22140221402214857
601166.SH,兴业银行,2024-02-29,14.43,14.38,-0.3465003465003391,0.3465003465003391
601166.SH,兴业银行,2024-03-29,14.15,13.62,-3.745583038869266,3.745583038869266
601166.SH,兴业银行,2024-04-30,14.64,14.64,0.0,0.0
601166.SH,兴业银行,2024-05-31,15.84,15.87,0.18939393939393537,0.18939393939393537
601166.SH,兴业银行,2024-06-28,15.35,15.4,0.32573289902280594,0.32573289902280594
601166.SH,兴业银行,2024-07-31,15.63,15.62,-0.06397952655151351,0.06397952655151351
601166.SH,兴业银行,2024-08-30,15.63,15.63,0.0,0.0
601166.SH,兴业银行,2024-09-30,17.28,17.84,3.240740740740733,3.240740740740733
300059.SZ,东方财富,2024-01-31,12.46,12.42,-0.32102728731942953,0.32102728731942953
300059.SZ,东方财富,2024-02-29,13.54,13.53,-0.07385524372230272,0.07385524372230272
300059.SZ,东方财富,2024-03-29,12.78,12.73,-0.39123630672925613,0.39123630672925613
300059.SZ,东方财富,2024-04-30,13.19,13.09,-0.7581501137225144,0.7581501137225144
300059.SZ,东方财富,2024-05-31,12.38,12.44,0.4846526655896504,0.4846526655896504
300059.SZ,东方财富,2024-06-28,11.28,11.26,-0.17730496453900332,0.17730496453900332
300059.SZ,东方财富,2024-07-31,10.32,10.34,0.19379844961239895,0.19379844961239895
300059.SZ,东方财富,2024-08-30,10.33,10.33,0.0,0.0
300059.SZ,东方财富,2024-09-30,16.86,19.43,15.243179122182681,15.243179122182681
601012.SH,隆基绿能,2024-01-31,20.06,19.98,-0.39880358923229464,0.39880358923229464
601012.SH,隆基绿能,2024-02-29,20.45,20.28,-0.8312958435207733,0.8312958435207733
601012.SH,隆基绿能,2024-03-29,19.44,19.48,0.20576131687242358,0.20576131687242358
601012.SH,隆基绿能,2024-04-30,18.83,18.43,-2.12426978226234,2.12426978226234
601012.SH,隆基绿能,2024-05-31,18.73,18.75,0.10678056593699718,0.10678056593699718
601012.SH,隆基绿能,2024-06-28,14.09,14.11,0.14194464158977696,0.14194464158977696
601012.SH,隆基绿能,2024-07-31,13.88,13.88,0.0,0.0
601012.SH,隆基绿能,2024-08-30,13.56,13.42,-1.032448377581125,1.032448377581125
601012.SH,隆基绿能,2024-09-30,15.96,16.9,5.889724310776927,5.889724310776927
603288.SH,海天味业,2024-01-31,33.21,33.13,-0.24089129780186175,0.24089129780186175
603288.SH,海天味业,2024-02-29,38.63,38.63,0.0,0.0
603288.SH,海天味业,2024-03-29,37.8,37.77,-0.07936507936506358,0.07936507936506358
603288.SH,海天味业,2024-04-30,37.79,37.76,-0.0793860809738056,0.0793860809738056
603288.SH,海天味业,2024-05-31,34.34,34.61,0.7862550960978334,0.7862550960978334
