symbol,asof,board,is_20pct_board,list_date,adv60_yuan,bad_money_ratio_120d,trend_gate_10,rs120,mdd120,score_mdd_15,touch_count,touch_recover_count,score_touch_15,recover_rate,score_recover_10,break_days_ma60,score_break_10,atr14_pct_median,score_atr_10,extreme_days_120d,score_extreme_5,limit_days_120d,max_limit_up_streak_120d,penalty_limit,gap_days_120d,penalty_gap,penalty_missing,rs120_rank_pct,score_rs120_15,adv60_rank_pct,score_liquidity_10,score_trend_40,score_structure_35,score_vol_15,score_liq_10,penalty_total,score_total_raw,score_total,rank
601899.SH,2025-09-30,,False,2008-04-25,5086384413.016666,0.0,10.0,0.5692422091009657,0.0722471350274041,1.6651718983557546,7,6,15.0,0.8571428571428571,10.0,0,10.0,0.02553554819106141,10.0,1,4.5,0,0,0.0,0,0.0,0.0,0.92,13.8,0.9,9.0,25.465171898355756,35.0,14.5,9.0,0.0,83.96517189835575,83.96517189835575,1
600276.SH,2025-09-30,,False,2000-10-18,4718341249.683333,0.0,10.0,0.23891636103598723,0.07595843783590117,1.4424937298459302,4,3,11.25,0.75,8.749999999999998,1,9.5,0.02900791530775789,10.0,2,4.0,1,1,5.0,2,2.0,0.0,0.85,12.75,0.88,8.8,24.19249372984593,29.5,14.0,8.8,7.0,69.49249372984592,69.49249372984592,2
000063.SZ,2025-09-30,主板,False,1997-11-18,7120956590.089001,0.0,10.0,0.22885873441961868,0.1529166666666667,0.0,11,10,15.0,0.9090909090909091,10.0,50,0.0,0.022682852188457656,10.0,4,3.0,0,0,0.0,1,1.0,0.0,0.83,12.45,0.96,9.6,22.45,25.0,13.0,9.6,1.0,69.05,69.05,3
002230.SZ,2025-09-30,主板,False,2008-05-12,2962639292.6994996,0.0,10.0,0.02967881652440907,0.08379888268156421,0.9720670391061476,10,8,15.0,0.8,10.0,38,0.0,0.020204806796807653,10.0,0,5.0,0,0,0.0,0,0.0,0.0,0.68,10.200000000000001,0.78,7.800000000000001,21.17206703910615,25.0,15.0,7.800000000000001,0.0,68.97206703910615,68.97206703910615,4
300124.SZ,2025-09-30,创业板,True,2010-09-28,3266454362.383333,0.0,10.0,0.06031645409749831,0.13351078733538801,0.0,5,4,15.0,0.8,10.0,70,0.0,0.022372215244752677,10.0,1,4.5,0,0,0.0,0,0.0,0.0,0.7,10.5,0.82,8.2,20.5,25.0,14.5,8.2,0.0,68.2,68.2,5
601600.SH,2025-09-30,,False,2007-04-30,1636311053.95,0.0,10.0,0.02524220910096564,0.09168704156479213,0.49877750611247273,6,5,15.0,0.8333333333333334,10.0,41,0.0,0.023020889786784453,10.0,0,5.0,0,0,0.0,0,0.0,0.0,0.67,10.05,0.55,5.5,20.548777506112472,25.0,15.0,5.5,0.0,66.04877750611247,66.04877750611247,6
002415.SZ,2025-09-30,主板,False,2010-05-28,1950868470.6608336,0.0,10.0,-0.12019982812614183,0.06411917098445596,2.1528497409326426,7,6,15.0,0.8571428571428571,10.0,64,0.0,0.015406429485431089,10.0,0,5.0,0,0,0.0,0,0.0,0.0,0.5,7.5,0.62,6.2,19.65284974093264,25.0,15.0,6.2,0.0,65.85284974093264,65.85284974093264,7
600031.SH,2025-09-30,,False,2003-07-03,1729726001.9833333,0.0,10.0,0.0017170202366558751,0.11381272633212625,0.0,8,7,15.0,0.875,10.0,35,0.0,0.02513977960547139,10.0,1,4.5,0,0,0.0,0,0.0,0.0,0.65,9.75,0.58,5.8,19.75,25.0,14.5,5.8,0.0,65.05,65.05,8
300059.SZ,2025-09-30,创业板,True,2010-03-19,15150404723.433332,0.0,10.0,0.08436007753390262,0.09858180560359742,0.08509166378415534,7,4,15.0,0.5714285714285714,4.285714285714285,43,0.0,0.031074764009152198,10.0,2,4.0,0,0,0.0,0,0.0,0.0,0.76,11.4,1.0,10.0,21.485091663784154,19.285714285714285,14.0,10.0,0.0,64.77080594949844,64.77080594949844,9
000725.SZ,2025-09-30,主板,False,2001-01-12,2328617248.1158338,0.0,10.0,-0.13015063335070032,0.05569007263922521,2.658595641646488,8,6,15.0,0.75,8.749999999999998,48,0.0,0.014341134327442316,8.682268654884632,0,5.0,0,0,0.0,0,0.0,0.0,0.48,7.199999999999999,0.69,6.8999999999999995,19.858595641646488,23.75,13.682268654884632,6.8999999999999995,0.0,64.19086429653112,64.19086429653112,10
601688.SH,2025-09-30,,False,2010-02-26,2139596893.9,0.0,10.0,0.19261911696567835,0.1262875055978503,0.0,5,4,15.0,0.8,10.0,32,0.0,0.02094256439635896,10.0,1,4.5,1,1,5.0,0,0.0,0.0,0.82,12.299999999999999,0.65,6.5,22.299999999999997,25.0,14.5,6.5,5.0,63.3,63.3,11
300433.SZ,2025-09-30,创业板,True,2015-03-18,2902035860.883333,0.0,10.0,0.5536872404644517,0.12749003984063745,0.0,6,4,15.0,0.6666666666666666,6.666666666666665,44,0.0,0.040616291358161395,9.691854320919303,5,2.5,0,0,0.0,2,2.0,0.0,0.91,13.65,0.76,7.6,23.65,21.666666666666664,12.191854320919303,7.6,2.0,63.10852098758596,63.10852098758596,12
300136.SZ,2025-09-30,创业板,True,2010-11-05,858955916.4166666,0.0,10.0,0.07994867127026728,0.12333692916217187,0.0,9,7,15.0,0.7777777777777778,9.444444444444445,39,0.0,0.03252266294027018,10.0,2,4.0,0,0,0.0,0,0.0,0.0,0.74,11.1,0.31,3.1,21.1,24.444444444444443,14.0,3.1,0.0,62.644444444444446,62.644444444444446,13
601088.SH,2025-09-30,,False,2007-10-09,1317725104.55,0.0,10.0,-0.16397927364164366,0.06475195822454305,2.1148825065274175,14,11,11.25,0.7857142857142857,9.642857142857142,10,5.0,0.019527913565709456,10.0,0,5.0,0,0,0.0,1,1.0,0.0,0.41,6.1499999999999995,0.44,4.4,18.264882506527417,25.892857142857142,15.0,4.4,1.0,62.55773964938456,62.55773964938456,14
300014.SZ,2025-09-30,创业板,True,2009-10-30,4123644630.6833334,0.0,10.0,1.039395438018487,0.11939355653821859,0.0,5,3,11.25,0.6,4.999999999999999,38,0.0,0.029461321156449893,10.0,4,3.0,0,0,0.0,0,0.0,0.0,0.97,14.549999999999999,0.87,8.7,24.549999999999997,16.25,13.0,8.7,0.0,62.5,62.5,15
603259.SH,2025-09-30,,False,2018-05-08,6157266352.466666,0.0,10.0,0.9707067564066825,0.09010300044782804,0.5938199731303179,3,3,11.25,1.0,10.0,21,0.0,0.03303380634756148,10.0,6,2.0,1,1,5.0,1,1.0,0.0,0.96,14.399999999999999,0.95,9.5,24.993819973130318,21.25,12.0,9.5,6.0,61.743819973130314,61.743819973130314,16
002371.SZ,2025-09-30,主板,False,2010-03-16,3630364133.125167,0.0,10.0,0.11326063356917593,0.13655419666348634,0.0,9,6,15.0,0.6666666666666666,6.666666666666665,35,0.0,0.02418598393470332,10.0,1,4.5,1,1,5.0,0,0.0,0.0,0.79,11.850000000000001,0.85,8.5,21.85,21.666666666666664,14.5,8.5,5.0,61.516666666666666,61.516666666666666,17
