symbol,status,days,factor_min,factor_max,factor_last,factor_last_date,decreases_gt_1e_3,big_jumps_gt_0_02
601899.SH,ok,728,0.8662420382165605,1.0,1.0,2025-10-16,98,0
600276.SH,ok,726,0.9845047039291643,1.0,1.0,2025-12-16,0,0
000063.SZ,ok,728,0.9204119850187267,1.0,1.0,2025-10-16,83,1
002230.SZ,ok,728,0.9904489016236867,1.0,1.0,2025-10-16,0,0
300124.SZ,ok,728,0.9783226723525231,1.0,1.0,2025-10-16,0,0
601600.SH,ok,727,0.8966292134831461,1.0,1.0,2025-12-17,93,0
002415.SZ,ok,728,0.9049295774647887,1.0,1.0,2025-10-16,76,2
600031.SH,ok,726,0.9299212598425198,1.0,1.0,2025-12-16,54,0
300059.SZ,ok,726,0.8248021108179421,1.0,1.0,2025-12-16,0,1
000725.SZ,ok,728,0.9580838323353295,1.0,1.0,2025-10-16,5,0
601688.SH,ok,727,0.8696383515559293,1.0,1.0,2025-12-17,81,2
300433.SZ,ok,727,0.9043062200956937,1.0,1.0,2025-12-17,83,0
300136.SZ,ok,728,0.9865047233468286,1.0,1.0,2025-10-16,0,0
601088.SH,ok,716,0.7007434944237919,1.0,1.0,2025-12-16,157,4
300014.SZ,ok,728,0.9612862940992819,1.0,1.0,2025-10-16,18,0
603259.SH,ok,728,0.933943592281049,1.0,1.0,2025-10-16,79,2
002371.SZ,ok,728,0.7329905426498944,1.0,1.0,2025-10-16,0,1
300832.SZ,ok,728,0.9344548831112082,1.0,1.0,2025-10-16,55,1
002920.SZ,ok,726,0.972964509394572,1.0,1.0,2025-12-16,12,0
002466.SZ,ok,728,0.9379192236335094,1.0,1.0,2025-10-16,52,2
