symbol,code,local_last_date,local_close,local_adjfactor,online_date,online_close_qfq,diff_pct_online_qfq,spot_name,spot_latest_raw,spot_prev_close_raw,diff_pct_vs_spot_prev_close_raw,online_error,status
000001.SZ,000001,2025-12-16,11.48,1.0,2025-12-16,11.48,0.0,,,,,,ok
601318.SH,601318,2025-12-16,67.0,1.0,2025-12-16,67.0,0.0,,,,,,ok
000858.SZ,000858,2025-12-16,113.0,1.0,2025-12-16,110.42,0.023365332367324743,,,,,,mismatch_online_qfq
600519.SH,600519,2025-12-16,1422.0,1.0,2025-12-16,1422.0,0.0,,,,,,ok
300750.SZ,300750,2025-12-16,378.41,1.0,2025-12-16,378.41,0.0,,,,,,ok
600036.SH,600036,2025-12-16,41.7,1.0,2025-12-16,41.7,0.0,,,,,,ok
002594.SZ,002594,2025-12-16,94.25,1.0,2025-12-16,94.25,0.0,,,,,,ok
000002.SZ,000002,2025-12-16,4.97,1.0,2025-12-16,4.97,0.0,,,,,,ok
600276.SH,600276,2025-12-16,59.15,1.0,2025-12-16,59.15,0.0,,,,,,ok
601166.SH,601166,2025-12-16,20.42,1.0,2025-12-16,20.42,0.0,,,,,,ok
300059.SZ,300059,2025-12-16,22.61,1.0,2025-12-16,22.61,0.0,,,,,,ok
601012.SH,601012,2025-12-16,17.46,1.0,2025-12-16,17.46,0.0,,,,,,ok
603288.SH,603288,2025-12-16,36.74,1.0,2025-12-16,36.74,0.0,,,,,,ok
000333.SZ,000333,2025-12-16,79.96,1.0,2025-12-16,79.96,0.0,,,,,,ok
002475.SZ,002475,2025-12-16,57.33,1.0,2025-12-16,57.33,0.0,,,,,,ok
600309.SH,600309,2025-12-16,70.07,1.0,2025-12-16,70.07,0.0,,,,,,ok
600031.SH,600031,2025-12-16,20.76,1.0,2025-12-16,20.76,0.0,,,,,,ok
300760.SZ,300760,2025-12-16,194.81,1.0,2025-12-16,194.81,0.0,,,,,,ok
600900.SH,600900,2025-12-16,27.97,1.0,2025-12-16,27.97,0.0,,,,,,ok
002920.SZ,002920,2025-12-16,114.79,1.0,2025-12-16,114.79,0.0,,,,,,ok
600000.SH,600000,2025-10-16,13.32,1.0,2025-10-16,13.32,0.0,,,,,,ok
601328.SH,601328,2025-10-16,7.0,1.0,2025-10-16,7.0,0.0,,,,,,ok
601398.SH,601398,2025-12-17,7.81,,2025-12-17,7.81,0.0,,,,,,ok
601939.SH,601939,2025-12-17,8.93,,2025-12-17,8.93,0.0,,,,,,ok
