symbol,code,target_date,local_last_date,local_close,local_adjfactor,online_close_qfq,diff_pct_online_qfq,online_error,sina_price_raw,diff_pct_vs_sina_price,sina_timestamp,sina_error,status
000001.SZ,000001,2025-12-18,2025-12-18,11.5,,11.52,-0.0017361111111110742,,11.52,-0.0017361111111110742,2025-12-18 09:44:18,,ok
601318.SH,601318,2025-12-18,2025-12-18,67.86,,67.85,0.00014738393515114395,,67.85,0.00014738393515114395,2025-12-18 09:44:22,,ok
000858.SZ,000858,2025-12-18,2025-12-18,110.77,,110.66,0.0009940357852882653,,110.66,0.0009940357852882653,2025-12-18 09:44:27,,ok
600519.SH,600519,2025-12-18,2025-12-18,1432.6,,1432.32,0.00019548704200176827,,1432.32,0.00019548704200176827,2025-12-18 09:44:28,,ok
300750.SZ,300750,2025-12-18,2025-12-18,376.5,,377.14,-0.001696982552898092,,377.15,-0.0017234522073444978,2025-12-18 09:44:30,,ok
600036.SH,600036,2025-12-18,2025-12-18,41.43,,41.53,-0.002407897905128857,,,,,fetch_fail,mismatch_online_qfq
002594.SZ,002594,2025-12-18,2025-12-18,94.11,,94.22,-0.0011674803651029444,,94.22,-0.0011674803651029444,2025-12-18 09:44:39,,ok
000002.SZ,000002,2025-12-18,2025-12-18,4.93,,4.94,-0.002024291497975845,,4.94,-0.002024291497975845,2025-12-18 09:44:39,,mismatch_online_qfq
600276.SH,600276,2025-12-18,2025-12-18,60.18,,60.44,-0.0043017868960952685,,60.44,-0.0043017868960952685,2025-12-18 09:44:42,,mismatch_online_qfq
601166.SH,601166,2025-12-18,2025-12-18,20.38,,20.42,-0.001958863858961934,,20.42,-0.001958863858961934,2025-12-18 09:44:42,,ok
300059.SZ,300059,2025-12-18,2025-12-18,22.97,,22.98,-0.00043516100957361023,,22.99,-0.0008699434536754927,2025-12-18 09:44:42,,ok
601012.SH,601012,2025-12-18,2025-12-18,17.76,,17.79,-0.001686340640809308,,17.79,-0.001686340640809308,2025-12-18 09:44:46,,ok
603288.SH,603288,2025-12-18,2025-12-18,37.0,,36.92,0.0021668472372697264,,36.92,0.0021668472372697264,2025-12-18 09:44:48,,mismatch_online_qfq
000333.SZ,000333,2025-12-18,2025-12-18,80.17,,80.08,0.0011238761238761665,,80.11,0.0007489701660217485,2025-12-18 09:44:48,,ok
002475.SZ,002475,2025-12-18,2025-12-18,57.72,,57.96,-0.004140786749482436,,57.96,-0.004140786749482436,2025-12-18 09:44:51,,mismatch_online_qfq
600309.SH,600309,2025-12-18,2025-12-18,76.07,,76.65,-0.007566862361383072,,76.65,-0.007566862361383072,2025-12-18 09:44:53,,mismatch_online_qfq
600031.SH,600031,2025-12-18,2025-12-18,20.85,,20.81,0.0019221528111486163,,20.81,0.0019221528111486163,2025-12-18 09:44:55,,ok
300760.SZ,300760,2025-12-18,2025-12-18,197.36,,197.07,0.001471558329527683,,197.07,0.001471558329527683,2025-12-18 09:44:57,,ok
600900.SH,600900,2025-12-18,2025-12-18,27.94,,27.95,-0.00035778175313051915,,27.95,-0.00035778175313051915,2025-12-18 09:45:00,,ok
002920.SZ,002920,2025-12-18,2025-12-18,117.58,,118.86,-0.010768971899713958,,118.86,-0.010768971899713958,2025-12-18 09:45:03,,mismatch_online_qfq
600000.SH,600000,2025-12-18,2025-12-18,11.5,,11.52,-0.0017361111111110742,,11.52,-0.0017361111111110742,2025-12-18 09:45:06,,ok
601328.SH,601328,2025-12-18,2025-12-18,7.32,,7.34,-0.0027247956403269173,,7.34,-0.0027247956403269173,2025-12-18 09:45:06,,mismatch_online_qfq
601398.SH,601398,2025-12-18,2025-12-18,7.8,,7.82,-0.002557544757033307,,7.82,-0.002557544757033307,2025-12-18 09:45:11,,mismatch_online_qfq
601939.SH,601939,2025-12-18,2025-12-18,8.96,,9.01,-0.005549389567147496,,9.01,-0.005549389567147496,2025-12-18 09:45:11,,mismatch_online_qfq
601288.SH,601288,2025-12-18,2025-12-18,7.44,,7.47,-0.004016064257028027,,7.47,-0.004016064257028027,2025-12-18 09:45:14,,mismatch_online_qfq
601988.SH,601988,2025-12-18,2025-12-18,5.58,,5.6,-0.0035714285714284954,,5.6,-0.0035714285714284954,2025-12-18 09:45:15,,mismatch_online_qfq
600016.SH,600016,2025-12-18,2025-12-18,3.9,,3.9,0.0,,3.9,0.0,2025-12-18 09:45:15,,ok
601169.SH,601169,2025-12-18,2025-12-18,5.49,,5.49,0.0,,5.49,0.0,2025-12-18 09:45:19,,ok
002142.SZ,002142,2025-12-18,2025-12-18,28.09,,28.16,-0.0024857954545454645,,28.16,-0.0024857954545454645,2025-12-18 09:45:21,,mismatch_online_qfq
601601.SH,601601,2025-12-18,2025-12-18,40.72,,40.85,-0.0031823745410037344,,40.85,-0.0031823745410037344,2025-12-18 09:45:24,,mismatch_online_qfq
601336.SH,601336,2025-12-18,2025-12-18,69.02,,69.48,-0.0066206102475533666,,69.48,-0.0066206102475533666,2025-12-18 09:45:26,,mismatch_online_qfq
601688.SH,601688,2025-12-18,2025-12-18,23.02,,23.01,0.0004345936549325515,,23.01,0.0004345936549325515,2025-12-18 09:45:30,,ok
600030.SH,600030,2025-12-18,2025-12-18,28.59,,28.66,-0.0024424284717376233,,28.66,-0.0024424284717376233,2025-12-18 09:45:31,,mismatch_online_qfq
601211.SH,601211,2025-12-18,2025-12-18,20.71,,20.73,-0.0009647853352628834,,20.73,-0.0009647853352628834,2025-12-18 09:45:34,,ok
000776.SZ,000776,2025-12-18,2025-12-18,21.62,,21.67,-0.002307337332718076,,21.67,-0.002307337332718076,2025-12-18 09:45:36,,mismatch_online_qfq
600999.SH,600999,2025-12-18,2025-12-18,16.74,,16.77,-0.0017889087656530196,,16.77,-0.0017889087656530196,2025-12-18 09:45:38,,ok
002736.SZ,002736,2025-12-18,2025-12-18,12.94,,12.96,-0.0015432098765433139,,12.96,-0.0015432098765433139,2025-12-18 09:45:39,,ok
601066.SH,601066,2025-12-18,2025-12-18,26.86,,26.82,0.0014914243102162248,,26.82,0.0014914243102162248,2025-12-18 09:45:41,,ok
300033.SZ,300033,2025-12-18,2025-12-18,315.35,,315.28,0.0002220248667852386,,315.22,0.0004124103800520127,2025-12-18 09:45:45,,ok
601628.SH,601628,2025-12-18,2025-12-18,46.33,,46.64,-0.006646655231560941,,46.65,-0.00685959271168275,2025-12-18 09:45:45,,mismatch_online_qfq
601377.SH,601377,2025-12-18,2025-12-18,7.21,,7.22,-0.001385041551246508,,7.22,-0.001385041551246508,2025-12-18 09:45:49,,ok
002773.SZ,002773,2025-12-18,2025-12-18,30.23,,30.12,0.003652058432934908,,30.12,0.003652058432934908,2025-12-18 09:45:48,,mismatch_online_qfq
300015.SZ,300015,2025-12-18,2025-12-18,11.24,,11.22,0.0017825311942958621,,11.22,0.0017825311942958621,2025-12-18 09:45:51,,ok
300347.SZ,300347,2025-12-18,2025-12-18,49.98,,50.02,-0.0007996801279489455,,50.02,-0.0007996801279489455,2025-12-18 09:45:54,,ok
603259.SH,603259,2025-12-18,2025-12-18,90.18,,90.85,-0.007374793615850165,,90.85,-0.007374793615850165,2025-12-18 09:45:54,,mismatch_online_qfq
000661.SZ,000661,2025-12-18,2025-12-18,95.86,,95.94,-0.00083385449239106,,95.94,-0.00083385449239106,2025-12-18 09:45:57,,ok
300832.SZ,300832,2025-12-18,2025-12-18,60.24,,59.94,0.005005005005005076,,59.94,0.005005005005005076,2025-12-18 09:46:00,,mismatch_online_qfq
300676.SZ,300676,2025-12-18,2025-12-18,45.73,,45.85,-0.0026172300981462276,,45.85,-0.0026172300981462276,2025-12-18 09:46:00,,mismatch_online_qfq
000538.SZ,000538,2025-12-18,2025-12-18,56.31,,56.32,-0.00017755681818178287,,56.32,-0.00017755681818178287,2025-12-18 09:46:03,,ok
688111.SH,688111,2025-12-18,2025-12-18,311.7,,309.85,0.005970630950459789,,309.85,0.005970630950459789,2025-12-18 09:46:05,,mismatch_online_qfq
002230.SZ,002230,2025-12-18,2025-12-18,49.26,,49.16,0.0020341741253051553,,49.16,0.0020341741253051553,2025-12-18 09:46:09,,mismatch_online_qfq
000063.SZ,000063,2025-12-18,2025-12-18,37.07,,37.02,0.0013506212857913873,,37.02,0.0013506212857913873,2025-12-18 09:46:12,,ok
002415.SZ,002415,2025-12-18,2025-12-18,29.15,,29.15,0.0,,29.15,0.0,2025-12-18 09:46:12,,ok
300433.SZ,300433,2025-12-18,2025-12-18,29.21,,29.18,0.001028101439342054,,29.18,0.001028101439342054,2025-12-18 09:46:12,,ok
000100.SZ,000100,2025-12-18,2025-12-18,4.61,,4.6,0.002173913043478408,,4.6,0.002173913043478408,2025-12-18 09:46:18,,mismatch_online_qfq
002371.SZ,002371,2025-12-18,2025-12-18,442.94,,440.49,0.005561987786328835,,440.49,0.005561987786328835,2025-12-18 09:46:18,,mismatch_online_qfq
603501.SH,603501,2025-12-18,2025-12-18,125.28,,124.89,0.0031227480182560697,,124.89,0.0031227480182560697,2025-12-18 09:46:21,,mismatch_online_qfq
300124.SZ,300124,2025-12-18,2025-12-18,72.45,,72.3,0.0020746887966805764,,72.3,0.0020746887966805764,2025-12-18 09:46:21,,mismatch_online_qfq
002008.SZ,002008,2025-12-18,2025-12-18,37.61,,37.76,-0.003972457627118607,,37.76,-0.003972457627118607,2025-12-18 09:46:24,,mismatch_online_qfq
002049.SZ,002049,2025-12-18,2025-12-18,75.43,,76.04,-0.008022093634928977,,76.04,-0.008022093634928977,2025-12-18 09:46:27,,mismatch_online_qfq
000725.SZ,000725,2025-12-18,2025-12-18,4.11,,4.12,-0.0024271844660193657,,4.12,-0.0024271844660193657,2025-12-18 09:46:30,,mismatch_online_qfq
300136.SZ,300136,2025-12-18,2025-12-18,36.76,,36.84,-0.002171552660152155,,36.84,-0.002171552660152155,2025-12-18 09:46:33,,mismatch_online_qfq
600887.SH,600887,2025-12-18,2025-12-18,28.74,,28.82,-0.002775850104094443,,28.82,-0.002775850104094443,2025-12-18 09:46:36,,mismatch_online_qfq
000568.SZ,000568,2025-12-18,2025-12-18,121.94,,121.72,0.0018074268813670627,,121.72,0.0018074268813670627,2025-12-18 09:46:39,,ok
000596.SZ,000596,2025-12-18,2025-12-18,144.8,,144.78,0.00013814062715851796,,144.78,0.00013814062715851796,2025-12-18 09:46:42,,ok
603369.SH,603369,2025-12-18,2025-12-18,34.93,,34.96,-0.0008581235697940828,,,,,fetch_fail,ok
600600.SH,600600,2025-12-18,2025-12-18,62.19,,62.24,-0.0008033419023136931,,62.24,-0.0008033419023136931,2025-12-18 09:46:53,,ok
000895.SZ,000895,2025-12-18,2025-12-18,27.1,,27.07,0.0011082379017362813,,27.07,0.0011082379017362813,2025-12-18 09:46:57,,ok
002304.SZ,002304,2025-12-18,2025-12-18,62.23,,62.22,0.00016072002571517214,,62.22,0.00016072002571517214,2025-12-18 09:47:00,,ok
600809.SH,600809,2025-12-18,2025-12-18,177.04,,177.5,-0.0025915492957746928,,177.5,-0.0025915492957746928,2025-12-18 09:47:08,,mismatch_online_qfq
000651.SZ,000651,2025-12-18,2025-12-18,40.95,,40.92,0.0007331378299120512,,40.92,0.0007331378299120512,2025-12-18 09:47:12,,ok
603899.SH,603899,2025-12-18,2025-12-18,28.03,,27.96,0.002503576537911312,,27.96,0.002503576537911312,2025-12-18 09:47:14,,mismatch_online_qfq
002555.SZ,002555,2025-12-18,2025-12-18,22.21,,22.0,0.009545454545454584,,22.0,0.009545454545454584,2025-12-18 09:47:18,,mismatch_online_qfq
603486.SH,603486,2025-12-18,2025-12-18,79.22,,79.09,0.0016436970539890688,,79.09,0.0016436970539890688,2025-12-18 09:47:23,,ok
603605.SH,603605,2025-12-18,2025-12-18,67.58,,67.59,-0.0001479508803078135,,67.59,-0.0001479508803078135,2025-12-18 09:47:30,,ok
600779.SH,600779,2025-12-18,2025-12-18,36.8,,,,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=1.600779&beg=20251218&end=20251218 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))",36.82,-0.0005431830526888411,2025-12-18 09:47:52,,online_fail
601899.SH,601899,2025-12-18,2025-12-18,31.05,,30.98,0.0022595222724338376,,30.98,0.0022595222724338376,2025-12-18 09:47:55,,mismatch_online_qfq
600219.SH,600219,2025-12-18,2025-12-18,4.73,,4.71,0.004246284501061669,,4.7,0.006382978723404308,2025-12-18 09:47:53,,mismatch_online_qfq
601088.SH,601088,2025-12-18,2025-12-18,40.12,,40.01,0.002749312671832028,,40.01,0.002749312671832028,2025-12-18 09:47:57,,mismatch_online_qfq
600426.SH,600426,2025-12-18,2025-12-18,29.98,,30.03,-0.0016650016650016886,,30.03,-0.0016650016650016886,2025-12-18 09:47:59,,ok
600585.SH,600585,2025-12-18,2025-12-18,22.04,,22.03,0.00045392646391275576,,22.03,0.00045392646391275576,2025-12-18 09:47:58,,ok
601600.SH,601600,2025-12-18,2025-12-18,10.7,,10.64,0.005639097744360781,,10.64,0.005639097744360781,2025-12-18 09:48:02,,mismatch_online_qfq
600019.SH,600019,2025-12-18,2025-12-18,7.13,,7.14,-0.0014005602240896062,,7.14,-0.0014005602240896062,2025-12-18 09:48:04,,ok
002129.SZ,002129,2025-12-18,2025-12-18,8.37,,8.36,0.0011961722488038023,,8.36,0.0011961722488038023,2025-12-18 09:48:06,,ok
601865.SH,601865,2025-12-18,2025-12-18,15.45,,15.42,0.0019455252918287524,,15.42,0.0019455252918287524,2025-12-18 09:48:07,,ok
300274.SZ,300274,2025-12-18,2025-12-18,164.8,,164.07,0.004449320412019371,,164.07,0.004449320412019371,2025-12-18 09:48:06,,mismatch_online_qfq
300014.SZ,300014,2025-12-18,2025-12-18,69.25,,69.37,-0.0017298544039210688,,69.37,-0.0017298544039210688,2025-12-18 09:48:12,,ok
