symbol,entry_date,entry_price,base_pct,t_return,hold_return,alpha,trades
688699.SH,2024-12-05,37.69,30,250.72,15.28,235.43,54
688699.SH,2024-12-05,37.69,50,233.79,15.28,218.51,48
688699.SH,2024-12-05,37.69,70,199.29,15.28,184.0,38
600966.SH,2024-12-05,5.41,30,156.9,8.13,148.76,35
600966.SH,2024-12-05,5.41,50,157.7,8.13,149.57,33
600966.SH,2024-12-05,5.41,70,138.95,8.13,130.82,28
300602.SZ,2024-12-05,21.17,30,279.49,34.96,244.54,44
300602.SZ,2024-12-05,21.17,50,238.03,34.96,203.07,36
300602.SZ,2024-12-05,21.17,70,198.65,34.96,163.69,28
301335.SZ,2024-11-21,20.96,30,269.43,33.87,235.56,36
301335.SZ,2024-11-21,20.96,50,242.46,33.87,208.59,32
301335.SZ,2024-11-21,20.96,70,194.37,33.87,160.49,24
300153.SZ,2024-12-05,8.4,30,1122.51,244.64,877.87,46
300153.SZ,2024-12-05,8.4,50,1054.61,244.64,809.96,42
300153.SZ,2024-12-05,8.4,70,810.92,244.64,566.28,30
002719.SZ,2024-12-05,9.05,30,298.61,-4.2,302.81,61
002719.SZ,2024-12-05,9.05,50,286.11,-4.2,290.31,58
002719.SZ,2024-12-05,9.05,70,224.22,-4.2,228.42,46
603488.SH,2024-12-05,9.36,30,154.41,-21.9,176.31,40
603488.SH,2024-12-05,9.36,50,154.41,-21.9,176.31,40
603488.SH,2024-12-05,9.36,70,98.32,-21.9,120.22,28
002048.SZ,2024-12-05,12.5,30,410.06,120.24,289.82,40
002048.SZ,2024-12-05,12.5,50,381.37,120.24,261.13,36
002048.SZ,2024-12-05,12.5,70,327.84,120.24,207.6,28
301182.SZ,2024-12-05,35.3,30,249.99,5.5,244.5,47
301182.SZ,2024-12-05,35.3,50,227.79,5.5,222.29,43
301182.SZ,2024-12-05,35.3,70,197.19,5.5,191.69,37
300702.SZ,2024-12-05,17.09,30,281.14,37.98,243.17,38
300702.SZ,2024-12-05,17.09,50,259.54,37.98,221.57,34
300702.SZ,2024-12-05,17.09,70,239.08,37.98,201.1,30
301235.SZ,2024-12-05,21.77,30,250.08,51.26,198.82,39
301235.SZ,2024-12-05,21.77,50,230.97,51.26,179.71,35
301235.SZ,2024-12-05,21.77,70,212.64,51.26,161.38,31
300053.SZ,2024-12-05,15.37,30,182.14,9.24,172.9,49
300053.SZ,2024-12-05,15.37,50,146.21,9.24,136.97,39
300053.SZ,2024-12-05,15.37,70,114.47,9.24,105.23,29
688799.SH,2024-12-05,28.65,30,392.6,62.55,330.05,45
688799.SH,2024-12-05,28.65,50,369.83,62.55,307.28,41
688799.SH,2024-12-05,28.65,70,283.14,62.55,220.59,31
600866.SH,2024-12-05,6.37,30,208.08,4.4,203.68,38
600866.SH,2024-12-05,6.37,50,187.58,4.4,183.19,34
600866.SH,2024-12-05,6.37,70,167.64,4.4,163.25,30
301082.SZ,2024-12-05,16.64,30,264.07,8.23,255.84,47
301082.SZ,2024-12-05,16.64,50,264.07,8.23,255.84,47
301082.SZ,2024-12-05,16.64,70,219.19,8.23,210.95,39
002148.SZ,2024-12-05,6.54,30,290.59,25.54,265.05,44
002148.SZ,2024-12-05,6.54,50,233.9,25.54,208.37,36
002148.SZ,2024-12-05,6.54,70,189.57,25.54,164.03,28
603588.SH,2024-12-05,5.3,30,257.56,25.85,231.71,40
603588.SH,2024-12-05,5.3,50,233.24,25.85,207.39,36
603588.SH,2024-12-05,5.3,70,186.11,25.85,160.26,28
300817.SZ,2024-12-05,15.48,30,276.16,17.51,258.65,38
300817.SZ,2024-12-05,15.48,50,254.15,17.51,236.64,34
300817.SZ,2024-12-05,15.48,70,235.14,17.51,217.64,30
601515.SH,2024-12-03,4.16,30,230.17,-1.44,231.61,48
601515.SH,2024-12-03,4.16,50,191.42,-1.44,192.86,40
601515.SH,2024-12-03,4.16,70,142.0,-1.44,143.44,30
600022.SH,2024-12-05,1.64,30,138.03,-10.37,148.39,34
600022.SH,2024-12-05,1.64,50,136.33,-10.37,146.69,32
600022.SH,2024-12-05,1.64,70,108.05,-10.37,118.42,26
600773.SH,2024-12-05,12.23,30,195.66,-1.47,197.13,44
600773.SH,2024-12-05,12.23,50,167.03,-1.47,168.5,38
600773.SH,2024-12-05,12.23,70,130.2,-1.47,131.68,30
600295.SH,2024-12-05,9.1,30,182.59,24.95,157.64,34
600295.SH,2024-12-05,9.1,50,171.82,24.95,146.87,30
600295.SH,2024-12-05,9.1,70,138.11,24.95,113.17,23
600673.SH,2024-12-05,8.92,30,383.31,144.06,239.25,35
600673.SH,2024-12-05,8.92,50,357.26,144.06,213.2,31
600673.SH,2024-12-05,8.92,70,333.06,144.06,189.01,27
300917.SZ,2024-12-05,60.9,30,168.98,-35.04,204.02,54
300917.SZ,2024-12-05,60.9,50,144.67,-35.04,179.71,48
300917.SZ,2024-12-05,60.9,70,95.37,-35.04,130.42,35
600395.SH,2024-12-05,5.31,30,46.26,-13.75,60.01,16
600395.SH,2024-12-05,5.31,50,44.16,-13.75,57.91,14
600395.SH,2024-12-05,5.31,70,42.53,-13.75,56.28,12
000533.SZ,2024-12-05,4.59,30,574.75,84.31,490.43,62
000533.SZ,2024-12-05,4.59,50,522.96,84.31,438.65,56
000533.SZ,2024-12-05,4.59,70,368.62,84.31,284.31,38
603113.SH,2024-12-05,5.88,30,229.76,1.36,228.4,45
603113.SH,2024-12-05,5.88,50,209.84,1.36,208.48,41
603113.SH,2024-12-05,5.88,70,178.99,1.36,177.63,34
002282.SZ,2024-12-05,7.34,30,194.08,-3.81,197.9,38
002282.SZ,2024-12-05,7.34,50,194.08,-3.81,197.9,38
002282.SZ,2024-12-05,7.34,70,161.39,-3.81,165.2,32
301348.SZ,2024-12-05,23.32,30,175.14,-16.85,192.0,42
301348.SZ,2024-12-05,23.32,50,156.25,-16.85,173.1,38
301348.SZ,2024-12-05,23.32,70,119.25,-16.85,136.1,30
301419.SZ,2024-12-05,28.75,30,222.41,10.3,212.11,45
301419.SZ,2024-12-05,28.75,50,184.29,10.3,173.99,37
301419.SZ,2024-12-05,28.75,70,148.5,10.3,138.2,29
688302.SH,2024-12-05,35.23,30,332.91,44.62,288.28,49
688302.SH,2024-12-05,35.23,50,313.93,44.62,269.3,45
688302.SH,2024-12-05,35.23,70,245.48,44.62,200.86,33
002035.SZ,2024-12-05,7.46,30,65.4,-18.9,84.3,18
002035.SZ,2024-12-05,7.46,50,65.4,-18.9,84.3,18
002035.SZ,2024-12-05,7.46,70,55.71,-18.9,74.61,16
300399.SZ,2024-12-05,28.88,30,119.26,-16.72,135.98,29
300399.SZ,2024-12-05,28.88,50,109.87,-16.72,126.6,27
300399.SZ,2024-12-05,28.88,70,91.49,-16.72,108.21,23
301248.SZ,2024-12-05,17.81,30,341.13,59.29,281.83,47
301248.SZ,2024-12-05,17.81,50,315.02,59.29,255.73,43
301248.SZ,2024-12-05,17.81,70,275.35,59.29,216.06,35
301519.SZ,2024-12-05,14.07,30,179.27,-9.1,188.37,38
301519.SZ,2024-12-05,14.07,50,168.76,-9.1,177.86,36
301519.SZ,2024-12-05,14.07,70,138.19,-9.1,147.28,30
603013.SH,2024-12-05,15.73,30,311.42,34.14,277.28,48
603013.SH,2024-12-05,15.73,50,276.59,34.14,242.45,42
603013.SH,2024-12-05,15.73,70,222.56,34.14,188.42,32
002382.SZ,2024-12-05,5.68,30,162.55,-2.99,165.55,35
002382.SZ,2024-12-05,5.68,50,141.1,-2.99,144.1,31
002382.SZ,2024-12-05,5.68,70,111.38,-2.99,114.37,25
300299.SZ,2024-12-05,6.59,30,229.62,7.59,222.03,47
300299.SZ,2024-12-05,6.59,50,203.17,7.59,195.59,42
300299.SZ,2024-12-05,6.59,70,152.12,7.59,144.53,30
002664.SZ,2024-12-05,13.97,30,429.76,51.32,378.44,54
002664.SZ,2024-12-05,13.97,50,340.39,51.32,289.06,42
002664.SZ,2024-12-05,13.97,70,259.57,51.32,208.25,30
688202.SH,2024-12-05,36.01,30,311.98,59.34,252.64,44
688202.SH,2024-12-05,36.01,50,282.34,59.34,223.0,38
688202.SH,2024-12-05,36.01,70,243.72,59.34,184.38,30
688553.SH,2024-12-05,16.39,30,228.36,9.64,218.72,42
688553.SH,2024-12-05,16.39,50,208.6,9.64,198.96,38
688553.SH,2024-12-05,16.39,70,170.67,9.64,161.03,30
002135.SZ,2024-12-05,5.09,30,150.88,-13.95,164.82,39
002135.SZ,2024-12-05,5.09,50,140.81,-13.95,154.76,36
002135.SZ,2024-12-05,5.09,70,105.38,-13.95,119.33,28
601568.SH,2024-12-05,4.39,30,43.26,-16.63,59.89,15
601568.SH,2024-12-05,4.39,50,41.63,-16.63,58.25,14
601568.SH,2024-12-05,4.39,70,38.99,-16.63,55.62,12
002971.SZ,2024-12-05,21.91,30,276.51,36.28,240.23,46
002971.SZ,2024-12-05,21.91,50,257.52,36.28,221.24,42
002971.SZ,2024-12-05,21.91,70,213.91,36.28,177.63,34
601339.SH,2024-12-05,5.15,30,131.43,4.27,127.16,30
601339.SH,2024-12-05,5.15,50,131.42,4.27,127.15,28
601339.SH,2024-12-05,5.15,70,131.9,4.27,127.63,26
002871.SZ,2024-12-05,9.83,30,283.17,55.04,228.14,46
002871.SZ,2024-12-05,9.83,50,263.67,55.04,208.63,42
002871.SZ,2024-12-05,9.83,70,211.77,55.04,156.73,31
002912.SZ,2024-12-05,29.01,30,178.68,-3.38,182.06,40
002912.SZ,2024-12-05,29.01,50,167.23,-3.38,170.6,36
002912.SZ,2024-12-05,29.01,70,128.36,-3.38,131.74,28
300809.SZ,2024-12-05,29.61,30,377.54,10.4,367.14,54
300809.SZ,2024-12-05,29.61,50,315.66,10.4,305.26,46
300809.SZ,2024-12-05,29.61,70,247.68,10.4,237.27,36
002812.SZ,2024-11-21,39.72,30,171.78,18.15,153.63,41
002812.SZ,2024-11-21,39.72,50,162.42,18.15,144.26,35
002812.SZ,2024-11-21,39.72,70,130.01,18.15,111.86,26
300909.SZ,2024-12-05,27.97,30,195.49,51.98,143.5,38
300909.SZ,2024-12-05,27.97,50,187.52,51.98,135.54,32
300909.SZ,2024-12-05,27.97,70,181.71,51.98,129.73,26
